Pressure,Z_PR,Z_Beggs,Bg,gas_dens,gas_visc,spec_vol,Eg
50.0,0.9845222472153342,0.9927474329102938,0.3570066893578717,0.25716059447849715,0.010657126627309086,3.888620657561967,2.8010679626161767
79.79797979797979,0.9753046032990053,0.9881023106383906,0.2215997168136632,0.41429679508692335,0.010703597373302771,2.4137285440264886,4.512641145840774
109.5959595959596,0.9660940474138999,0.9833176344707775,0.15982535816620863,0.5744273219309521,0.010756250921984314,1.7408642691967966,6.2568294010019425
139.3939393939394,0.9568926290251806,0.9784178767117238,0.12446296455552598,0.7376335024312602,0.010814324758755881,1.355686796632708,8.034518570011045
169.1919191919192,0.9477025952399704,0.9734197746893144,0.10155779824451189,0.9039980587904453,0.010877431967989655,1.1061970656640634,9.846609687149645
198.989898989899,0.9385264079292926,0.9683365584432572,0.08551381646010017,1.0736049011554416,0.010945370040741073,0.9314413513982415,11.694016726134416
228.7878787878788,0.9293667620679553,0.9631795443937631,0.07365037259414071,1.2465388732517324,0.011018043719606924,0.8022212716009338,13.577663829491005
258.5858585858586,0.9202266053035892,0.9579588701758938,0.06452244830079122,1.4228854435293434,0.011095427529853793,0.7027972663207427,15.498481944426421
288.3838383838384,0.911109158742744,0.9526838785641523,0.05728228293404002,1.602730334155615,0.011177545319047263,0.6239352801211201,17.45740478171043
318.1818181818182,0.9020179389107768,0.9473633357553335,0.05139970651103098,1.786159079495276,0.011264458126110757,0.5598605474057636,19.455364006512145
347.979797979798,0.8929567808035291,0.9420055631053124,0.04652616232731493,1.9732565050647015,0.011356256525396723,0.506776487209508,21.493283563018316
377.77777777777777,0.8839298618988443,0.9366185201026915,0.042423082551591176,2.1641061173813023,0.011453055539052655,0.46208454935197896,23.57207302849549
407.5757575757576,0.8749417269349752,0.9312098582293705,0.038921682738655206,2.358789394706487,0.011554991091746705,0.4239462845831702,25.692619887856146
437.3737373737374,0.8659973131882535,0.9257869566356397,0.03589919140047529,2.5573849684774506,0.011662217415721845,0.39102443016052996,27.855780617575707
467.1717171717172,0.8571019758928539,0.9203569460462777,0.0332641765901771,2.7599676853321333,0.01177490504258065,0.3623230827355359,30.062370468995756
496.969696969697,0.8482615133398516,0.9149267248392654,0.030947151325211728,2.9666075401672636,0.011893239144915912,0.3370853698914343,32.31315184688193
526.7676767676768,0.8394821910702962,0.9095029698125416,0.028894367550959133,3.1773684717671875,0.012017418064181029,0.3147258521904513,34.608821191063086
556.5656565656566,0.8307707644379372,0.9040921432973767,0.02706360364185986,3.392307014357428,0.012147651905064746,0.2947846394113654,36.949994288760514
586.3636363636364,0.8221344986629345,0.8987004977432216,0.02542123625614487,3.6114708011447885,0.012284161103788839,0.27689549633988825,39.33718997471172
616.1616161616162,0.8135811853315889,0.8933340785558017,0.02394016172813935,3.8348969196878455,0.01242717489528347,0.26076320196929786,41.77081221738768
645.959595959596,0.8051191541243302,0.8879987257433981,0.02259829264103739,4.062610123976867,0.012576929616334644,0.24614717373398987,44.25113064444741
675.7575757575758,0.7967572783833692,0.8827000747724352,0.02137745200213253,4.294620914546414,0.01273366679122587,0.23284942254457802,46.778259630766286
705.5555555555555,0.7885049729743676,0.8774435569267733,0.020262547436179345,4.530923505903537,0.012897630954953512,0.22070555786189205,49.35213615907307
735.3535353535353,0.7803721827693249,0.8722343993894374,0.019240945927421354,4.771493710048299,0.01306906717813275,0.2095779772053556,51.97249676663993
765.1515151515152,0.7723693599993227,0.867077625210809,0.018301994397762707,5.016286775789491,0.013248218268272625,0.19935064415104425,54.638854010481126
794.949494949495,0.7645074287212811,0.8619780532870074,0.017436647815263367,5.265235235622827,0.013435321634971327,0.18992503758129045,57.350473014924276
824.7474747474748,0.7567977347355711,0.8569402984419585,0.016637177601035145,5.518246824651212,0.013630605822325422,0.18121697556781657,60.106348803884934
854.5454545454546,0.7492519795100947,0.8519687716836214,0.01589694070386953,5.77520254860881,0.013834286730703891,0.17315410006544105,62.90518525722289
884.3434343434344,0.7418821370336909,0.8470676806869888,0.015210195011105609,6.035954989468412,0.014046563571896618,0.165673866313584,65.74537665492504
914.1414141414142,0.7347003530553001,0.8422410305424586,0.014571950512102274,6.300326946061349,0.014267614625928803,0.1587219216655336,68.62499287034234
943.939393939394,0.7277188268708721,0.8374926247970029,0.013977848317037902,6.568110512128224,0.014497592893430737,0.15225078782603738,71.54176932805018
973.7373737373738,0.7209496766865595,0.8328260668065448,0.0134240615832541,6.839066693689543,0.014736621762697402,0.14621878171223382,74.4931028361382
1003.5353535353536,0.7144047905822156,0.8282447614106054,0.012907213832206067,7.112925660144493,0.014984790833277336,0.14058912573812643,77.47605432125104
1033.3333333333335,0.7080956661674533,0.8237519169342362,0.012424311200855919,7.389387708007969,0.015242152055527858,0.135329209877063,80.4873593258924
1063.1313131313132,0.7020332430839928,0.8193505475172251,0.011972685964416911,7.66812499224702,0.015508716355370072,0.13040997649504488,83.52344686664482
1092.929292929293,0.6962277334641747,0.8150434757663787,0.011549949264077422,7.948784048221862,0.015784450913004098,0.12580540544735258,86.58046690388447
1122.7272727272727,0.6906884561983285,0.810833335723169,0.011153951424073128,8.230989088756903,0.01606927725178136,0.12149208184055878,89.6543262544375
1152.5252525252527,0.6854236812890594,0.8067225761360788,0.01078274858333837,8.514346018410679,0.016363070268017144,0.11744883257477289,92.74073231617508
1182.3232323232323,0.6804404905944386,0.8027134640245067,0.01043457462435775,8.798447064028856,0.016665658294894865,0.1136564205845315,95.8352435053432
